Ambystan Snapper:
49.0 81.6
49.2 47.2
49.4 13.4
49.4 50.4
49.4 50.8
49.6 29.4
49.6 29.6
49.6 51.0
50.2 24.4
50.2 24.8
50.4 43.4
50.4 83.8
50.6 43.2
50.6 43.6
50.6 84.0
51.0 45.4
51.0 45.8
51.4 5.0
51.6 5.2
52.0 31.2
53.0 83.6
53.2 66.2
54.2 48.8
54.6 48.8
54.8 63.6
55.2 30.8
55.2 68.4
55.2 68.6
55.2 82.8
55.4 30.4
55.4 76.2
55.6 30.6
55.6 76.2
56.0 49.2
56.6 71.2
56.6 71.6
56.6 81.2
56.8 81.6
57.8 68.6
58.0 47.8
58.2 68.2
58.2 82.2
58.4 77.4
58.4 84.2
58.6 77.2
58.6 84.2
59.0 24.8
59.0 31.4
59.0 31.6
60.0 35.8
60.0 43.4
60.0 45.4
60.0 45.6
60.2 43.6
60.4 64.2
60.4 68.8
60.6 64.0
60.6 68.6
61.0 29.0
61.8 49.4
62.0 35.2
62.0 47.0
62.2 35.6
62.4 19.2
62.4 19.6
62.4 68.4
62.4 70.8
62.6 68.2
62.8 46.4
62.8 64.4
63.0 34.2
63.2 26.2
63.4 30.4
63.6 30.2
63.6 30.8
64.0 31.8
64.6 20.8
64.8 38.6
65.4 43.4
65.6 43.4
66.8 29.8
67.0 25.0
67.0 29.4
68.0 37.2
68.2 34.4
75.0 47.4
75.4 45.6
75.6 45.4
75.8 48.8
76.2 44.4
77.0 48.2
77.4 49.2
77.6 49.4
78.8 47.2
78.8 60.0
80.4 48.0
80.6 48.0

Mawtouched Geomental:
59.0 72.2
60.4 69.0
61.0 75.4
61.4 70.4
61.4 73.4
61.4 73.6
61.8 67.4
61.8 67.6
62.4 74.4
62.6 74.4
62.6 74.6
63.0 73.4
63.2 68.4
63.2 68.8
64.2 71.2
64.4 69.0

Metallic Scarabid:
37.6 38.2
38.0 38.6
39.2 35.4
39.4 33.4
39.4 33.6
39.8 38.8
40.2 40.4
40.2 40.8
41.0 33.6
41.4 33.4
45.0 39.2
45.4 40.2
46.6 42.2
46.8 39.2
47.0 44.8
47.0 50.0
48.6 42.0
49.0 39.2
50.2 39.4
50.2 41.0
57.2 52.0
57.6 23.6
57.8 23.4
58.2 56.2
58.4 51.6
58.6 51.6
59.4 23.8
59.6 23.8
59.8 23.4
60.0 18.4
60.4 50.8
60.6 50.8
60.8 46.6
60.8 48.2
61.0 42.4
61.0 42.6
61.0 45.8
61.4 21.2
61.4 44.2
61.6 18.2
61.6 18.6
61.6 21.4
61.6 21.6
61.6 44.2
61.6 44.6
75.0 48.8
75.6 61.8
76.2 60.0
76.4 59.2
76.6 59.0
76.6 60.6
76.8 60.2
76.8 62.0
79.0 47.4
79.2 47.8
79.6 47.4
79.8 47.8

Momma Vombata:
33.6 59.4
33.6 59.6
34.4 57.4
34.6 57.6
35.0 57.0
35.0 64.2
35.0 64.6
35.0 65.8
37.2 65.2
37.2 65.6
37.8 64.4
37.8 64.6
38.4 68.4
38.4 68.6
38.6 68.4
38.6 68.6
39.8 66.8
40.8 51.2
41.4 46.4
41.4 46.6
43.0 45.0
44.0 46.0
45.0 77.2
45.4 74.2
45.6 74.0
45.8 67.0
46.4 78.2
46.4 78.6
46.6 50.2
46.6 78.2
46.8 70.8
46.8 76.2
46.8 76.6
47.8 75.6
48.0 75.4
48.4 70.4
48.4 70.6
48.6 70.4
48.6 70.6
49.4 68.2
50.4 71.0
50.6 71.2
59.4 76.4
59.4 76.6
60.4 77.0
60.6 77.0
79.8 60.6
80.0 60.4
80.2 49.4
80.2 49.6
80.4 56.4
80.4 56.6
80.8 49.2
80.8 49.6
80.8 59.0

Predatory Helicid:
58.4 82.0
58.4 84.2
58.6 84.2
59.2 82.8

Proto Avian Fledgling:
29.0 56.4
29.0 56.6
29.4 52.8
30.2 55.4
32.2 52.2
32.4 55.0
35.4 46.2
35.8 43.8
37.2 46.0
37.4 45.2
37.6 45.4
40.0 73.0
40.6 54.6
41.8 46.4
42.2 69.0
42.4 33.8
42.6 33.8
43.2 75.0
44.2 31.2
45.4 54.0
47.0 28.4
51.0 63.0
51.8 59.2
62.4 47.2
63.2 43.0
63.8 49.4
64.0 48.4
64.6 46.4

Red Viperid:
45.2 7.8
46.8 10.2
47.0 25.8
47.2 10.6
47.4 25.4
47.6 26.0
48.0 1.8
48.0 6.2
48.2 28.6
48.2 49.8
48.6 29.2
49.2 13.2
49.2 47.0
49.8 29.2
50.6 43.4
50.8 45.8
51.0 45.4
51.4 5.2
51.6 5.0
52.0 31.0
54.4 48.4
54.4 48.8
55.4 30.4
55.4 30.6
56.0 49.2
59.0 24.8
59.0 31.2
59.2 31.6
60.0 35.8
61.0 28.8
62.4 19.2
62.8 46.4
62.8 46.6
63.2 26.2
63.2 26.6
63.2 34.2
63.4 30.6
63.6 30.4
64.0 32.0
64.4 21.2
64.8 21.2
64.8 38.6
65.2 43.0
67.0 29.8
67.2 25.0
68.0 37.2
68.4 34.2
68.6 37.2

Scarlet Proto Avian:
37.2 45.8
63.8 49.4
63.8 49.6
64.0 48.4
64.6 46.4

Tarachnid Ambusher:
37.4 36.0
37.6 36.2
39.6 34.6
40.0 34.4
40.6 34.0
40.6 34.6
41.0 36.4
41.0 36.6
45.8 39.4
46.0 39.6
49.4 42.2
50.8 41.0
56.2 36.6
57.4 27.2
57.6 27.0
58.0 33.2
58.2 33.6
59.0 37.0
60.0 28.4
60.2 28.8
60.2 38.4
60.2 38.6
61.0 39.2
61.2 39.6
61.6 40.4
61.8 30.8
62.4 38.0
62.4 41.4
62.4 41.8
62.6 37.8
62.6 41.4
63.2 42.2
63.8 21.8
64.0 24.4
64.0 24.6
64.0 29.8
64.0 36.8
65.0 35.8
65.4 31.0
65.6 31.4
66.0 24.0
66.0 41.2
66.0 41.8
67.2 39.2
67.4 34.2
68.0 26.8
68.4 32.4
68.4 35.4
68.4 35.6
68.6 35.4
68.8 32.0

Tarachnid Stalker:
49.0 25.2
49.0 25.8
49.6 45.4
49.8 2.2
49.8 45.6
50.0 43.0
50.4 8.4
50.4 8.6
50.4 50.2
50.6 8.4
50.6 49.8
50.6 50.6
50.8 8.8
51.4 44.0
51.8 26.4
51.8 26.8
51.8 50.6
52.0 47.0
52.6 29.2
52.8 29.6
53.2 47.0
53.2 48.8
53.4 50.2
53.6 44.4
53.6 44.6
54.0 28.4
54.2 31.0
54.8 30.2
55.0 30.6
55.0 46.4
55.2 47.2
56.0 31.4
56.0 31.6
56.4 28.0
56.4 30.0
56.6 28.2
56.6 28.6
56.6 30.0
57.0 33.4
57.0 33.6
57.2 47.2
59.0 22.6
59.2 22.4
60.4 17.6
60.4 20.4
60.4 20.6
60.6 15.6
60.6 17.4
60.6 17.8
60.6 20.2
60.6 20.8
62.0 20.2
75.0 47.6
75.0 49.2
75.2 45.0
76.8 59.2
77.0 58.4

Timid Leporid:
32.4 63.2
32.4 63.8
32.6 63.6
33.8 65.2
34.6 61.8
35.2 64.6
35.4 46.4
35.4 46.6
35.6 46.6
35.6 67.4
35.8 66.4
35.8 67.6
36.0 46.4
36.2 43.8
36.2 63.0
37.0 45.0
37.0 61.4
37.0 61.6
37.0 66.4
37.0 66.6
37.2 45.8
37.4 70.4
37.6 70.2
37.8 51.2
38.2 58.4
38.2 58.6
39.4 61.6
39.6 61.8
41.8 64.0
42.6 46.0
42.8 49.0
43.2 86.8
45.0 43.4
45.4 93.4
45.6 93.4
45.6 93.6
46.2 45.4
47.2 46.4
47.2 46.6
49.4 93.2
49.6 93.4
51.2 94.0
51.4 85.4
51.4 85.6
51.8 82.8
53.0 92.8
53.2 87.4
53.2 87.6
53.4 89.8
53.6 89.8
54.4 83.0
55.2 82.4
55.4 79.2
55.6 79.2
55.6 79.6
57.2 78.8
58.6 60.0
60.6 71.6
75.8 56.2
76.0 44.4
76.0 50.8
77.6 56.8
81.0 47.2
81.2 46.0

Venomous Bufonid:
32.8 61.0
33.4 60.0
33.6 60.2
33.6 61.2
34.4 70.8
34.8 69.4
35.4 70.4
35.4 70.6
35.8 70.8
36.2 70.0
36.6 70.2
36.6 70.6
43.0 87.8
43.6 60.4
43.8 60.6
44.0 87.8
44.8 58.2
44.8 58.6
45.4 63.0
47.2 88.6
47.4 85.4
47.4 85.8
47.4 88.4
47.6 85.8
47.6 88.2
47.6 91.8
48.0 60.4
48.2 60.6
48.4 74.0
48.6 74.2
49.0 75.6
49.2 75.4
49.4 59.0
49.6 59.0
50.0 62.6
50.2 72.2
50.2 73.4
50.4 74.4
50.4 74.6
50.8 89.4
50.8 89.6
51.0 74.6
51.2 60.0
51.2 74.4
52.4 90.6
52.8 90.8
57.8 84.0
58.2 82.4
60.2 72.2
60.2 74.4
60.2 74.8
63.4 70.8
63.6 71.0
63.8 70.4
75.2 53.8
75.2 59.2
75.4 45.6
75.4 52.6
75.6 45.8
75.6 47.2
75.8 60.8
76.2 45.0
76.8 45.4
77.0 45.6
77.0 60.6
77.2 44.2
77.2 51.4
77.2 51.6
77.2 58.8
77.2 60.4
77.6 52.4
77.6 52.6
77.6 58.8
78.0 54.2
79.0 45.2
80.0 46.8
80.2 46.4
80.4 45.2
80.8 45.8

Vicious Leporid:
34.8 66.8
35.4 59.4
35.4 59.6
35.6 59.4
36.4 46.2
36.6 46.2
36.8 44.4
36.8 44.6
37.4 70.4
37.4 70.6
39.4 49.4
39.4 49.6
41.6 63.4
41.6 63.6
44.8 43.0
45.2 49.4
45.4 93.2
45.4 93.6
45.6 93.4
45.6 93.6
46.4 73.0
46.6 73.0
49.6 67.2
49.8 88.6
50.0 88.4
51.4 83.0
51.6 83.0
52.8 70.0
55.4 82.2
55.6 82.2
62.4 74.0
62.6 74.0
75.8 45.2
76.6 58.0
80.4 58.6
80.6 49.2
80.6 58.6

Vombata Pup:
35.0 64.2
35.0 65.8
38.6 68.6
39.8 66.8
40.8 51.2
41.4 46.6
43.0 45.2
43.8 46.2
45.0 77.0
45.8 66.8
46.6 70.8
49.2 68.2
49.2 68.8
50.4 71.0
59.4 76.6
80.4 56.6
80.8 49.2
80.8 59.0
